Year, Country, City, Stadium, Capacity
1957, Sudan, Khartoum, Municipal Stadium, 30000
1959, United Arab Republic, Cairo, Prince Farouk Stadium, 25000
1962, Ethiopia, Addis Ababa, Hailé Sélassié Stadium, 30000
1963, Ghana, Accra, Accra Sports Stadium, 40000
1963, Ghana, Kumasi, Kumasi Sports Stadium, 40500
1965, Tunisia, Tunis, Chedly Zouiten Stadium, 20000
1965, Tunisia, Sfax, Taieb Mhiri Stadium, 11000
1965, Tunisia, Sousse, Bou Ali Lahouar Stadium, 6500
1965, Tunisia, Bizerte, Stade Ahmed Bsiri, 2000
1968, Ethiopia, Addis Ababa, Hailé Sélassié Stadium, 30000
1968, Ethiopia, Asmara, Cicero Stadium, 20000
1970, Sudan, Khartoum, Municipal Stadium, 30000
1970, Sudan, Wad Madani, Wad Madani Stadium, 15000
1972, Cameroon, Yaoundé, Stade Omnisports, 38720
1972, Cameroon, Douala, Stade de la Réunification, 30000
1974, Egypt, Cairo, Cairo International Stadium, 95000
1974, Egypt, Alexandria, Alexandria Stadium, 13660
1974, Egypt, El-Mahalla El-Kubra, El Mahalla Stadium, 29000
1974, Egypt, Damanhour, Ala'ab Damanhour Stadium, 8000
1976, Ethiopia, Addis Ababa, Addis Ababa Stadium, 30000
1976, Ethiopia, Dire Dawa, Dire Dawa Stadium, 18000
1978, Ghana, Accra, Accra Sports Stadium, 40000
1978, Ghana, Kumasi, Kumasi Sports Stadium, 40500
1980, Nigeria, Lagos, Surulere Stadium, 80000
1980, Nigeria, Ibadan, Liberty Stadium, 35000
1982, Libya, Tripoli, 11 June Stadium, 88000
1982, Libya, Benghazi, 28 March Stadium, 55000
1984, Ivory Coast, Abidjan, Stade Félix Houphouët-Boigny, 40000
1984, Ivory Coast, Bouaké, Stade Bouaké, 35000
1986, Egypt, Cairo, Cairo International Stadium, 90000
1986, Egypt, Alexandria, Alexandria Stadium, 15000
1988, Morocco, Casablanca, Stade Mohamed V, 80000
1988, Morocco, Rabat, Stade Moulay Abdellah, 52000
1990, Algeria, Algiers, Stade du 5 Juillet, 85000
1990, Algeria, Annaba, Stade du 19 Mai, 56000
1992, Senegal, Dakar, Stade de l'Amitié, 60000
1992, Senegal, Ziguinchor, Stade Aline Sitoe Diatta, 10000
1994, Tunisia, Tunis, El Menzah Stadium, 45000
1994, Tunisia, Tunis, Chedly Zouiten Stadium, 18000
1994, Tunisia, Sousse, Sousse Olympic Stadium, 21000
1996, South Africa, Johannesburg, FNB Stadium, 80000
1996, South Africa, Durban, Kings Park Stadium, 52000
1996, South Africa, Bloemfontein, Free State Stadium, 40000
1996, South Africa, Port Elizabeth, EPRU Stadium, 33852
1998, Burkina Faso, Ouagadougou, Stade du 4 Août, 40000
1998, Burkina Faso, Ouagadougou, Stade Municipal, 30000
1998, Burkina Faso, Bobo-Dioulasso, Stade Municipal, 40000
2000, Ghana, Accra, Accra Sports Stadium, 40000
2000, Ghana, Kumasi, Baba Yara Stadium, 51500
2000, Nigeria, Lagos, National Stadium, 55000
2000, Nigeria, Kano, Sani Abacha Stadium, 25000
2002, Mali, Bamako, Stade du 26 Mars, 55000
2002, Mali, Bamako, Stade Modibo Keïta, 25000
2002, Mali, Kayes, Stade Abdoulaye Makoro Cissoko, 15000
2002, Mali, Mopti, Stade Barema Bocoum, 15000
2002, Mali, Ségou, Stade Amary Daou, 15000
2002, Mali, Sikasso, Stade Babemba Traoré, 15000
2004, Tunisia, Bizerte, 15 October Stadium, 20000
2004, Tunisia, Monastir, Mustapha Ben Jannet Stadium, 22000
2004, Tunisia, Sfax, Taieb Mhiri Stadium, 22000
2004, Tunisia, Sousse, Sousse Olympic Stadium, 28000
2004, Tunisia, Tunis, 7 November Stadium, 60000
2004, Tunisia, Tunis, El Menzah Stadium, 45000
2006, Egypt, Cairo, Cairo International Stadium, 74100
2006, Egypt, Cairo, Cairo Military Academy Stadium, 25500
2006, Egypt, Port Said, Port Said Stadium, 24060
2006, Egypt, Alexandria, Haras El Hodoud Stadium, 21650
2006, Egypt, Alexandria, Alexandria Stadium, 19676
2006, Egypt, Ismailia, Ismailia Stadium, 16606
2008, Ghana, Accra, Ohene Djan Stadium, 40000
2008, Ghana, Kumasi, Baba Yara Stadium, 40528
2008, Ghana, Tamale, Tamale Stadium, 21017
2008, Ghana, Sekondi-Takoradi, Sekondi-Takoradi Stadium, 20088
2010, Angola, Luanda, Estádio 11 de Novembro, 50000
2010, Angola, Cabinda, Estádio Nacional do Chiazi, 20000
2010, Angola, Benguela, Estádio Nacional de Ombaka, 35000
2010, Angola, Lubango, Estádio Nacional da Tundavala, 20000
2012, Equatorial Guinea, Bata, Estadio de Bata, 41000
2012, Gabon, Franceville, Stade de Franceville, 22000
2012, Gabon, Libreville, Stade d'Angondjé, 40000
2012, Equatorial Guinea, Malabo, Estadio de Malabo, 20000
2013, South Africa, Johannesburg, FNB Stadium23, 94700
2013, South Africa, Durban, Moses Mabhida Stadium, 54000
2013, South Africa, Port Elizabeth, Nelson Mandela Bay Stadium, 48000
2013, South Africa, Nelspruit, Mbombela Stadium, 41000
2013, South Africa, Rustenburg, Royal Bafokeng Stadium, 42000
2015, Equatorial Guinea, Bata, Estadio de Bata, 41000
2015, Equatorial Guinea, Mongomo, Estadio de Mongomo, 15000
2015, Equatorial Guinea, Ebibeyin, Estadio de Ebibeyin, 8000
2015, Equatorial Guinea, Malabo, Estadio de Malabo, 20000
2017, Gabon, Libreville, Stade de l'Amitié, 40000
2017, Gabon, Franceville, Stade de Franceville, 25000
2017, Gabon, Oyem, Stade d'Oyem, 20500
2017, Gabon, Port-Gentil, Stade de Port-Gentil, 20000
2019, Egypt, Cairo, Cairo International Stadium, 75000
2019, Egypt, Cairo, 30 June Stadium, 30000
2019, Egypt, Cairo, Al Salam Stadium, 30000
2019, Egypt, Alexandria, Alexandria Stadium, 19676
2019, Egypt, Ismailia, Ismailia Stadium, 18525
2019, Egypt, Suez, Suez Stadium, 27000
2021, Cameroon, Yaoundé, Olembe Stadium, 60000
2021, Cameroon, Yaoundé, Ahmadou Ahidjo Stadium, 42500
2021, Cameroon, Douala, Japoma Stadium, 50000
2021, Cameroon, Garoua, Roumdé Adjia Stadium, 25000
2021, Cameroon, Bafoussam, Kouekong Stadium, 20000
2021, Cameroon, Limbe, Limbe Stadium, 20000
2023, Ivory Coast, Abidjan, Alassane Ouattara Stadium, 60000
2023, Ivory Coast, Abidjan, Felix Houphouet Boigny Stadium, 33000
2023, Ivory Coast, Bouaké, Stade de la Paix, 40000
2023, Ivory Coast, Korhogo, Amadou Gon Coulibaly Stadium, 20000
2023, Ivory Coast, San-Pédro, Laurent Pokou Stadium, 20000
2023, Ivory Coast, Yamoussoukro, Charles Konan Banny Stadium, 20000
2025, Morocco, Agadir, Adrar Stadium, 45480
2025, Morocco, Casablanca, Stade Mohammed V, 45000
2025, Morocco, Fez, Fez Stadium, 45000
2025, Morocco, Marrakesh, Marrakesh Stadium, 45240
2025, Morocco, Rabat, Prince Moulay Abdellah Stadium, 69500
2025, Morocco, Rabat, Moulay Hassan Stadium, 22000
2025, Morocco, Rabat, Rabat Olympic Stadium, 21000
2025, Morocco, Rabat, Al Medina Stadium, 18000
2025, Morocco, Tangier, Tangier Grand Stadium, 75500