Region, Type, ISO, INSEE, Capital, Area [km2], Seats in Regional council, Former regions (until 2016)
Auvergne-Rhône-Alpes, Metropolitan, FR-ARA, 84, Lyon, 69711.00, 204, Auvergne; Rhône-Alpes, 
Bourgogne-Franche-Comté, Metropolitan, FR-BFC, 27, Dijon, 47784.00, 100, Burgundy; Franche-Comté, 
Bretagne, Metropolitan, FR-BRE, 53, Rennes, 27208.00, 83, unchanged, 
Centre-Val de Loire, Metropolitan, FR-CVL, 24, Orléans, 39151.00, 77, unchanged, 
Corse, Metropolitan, FR-20R, 94, Ajaccio, 8680.00, 63, unchanged, 
Grand Est, Metropolitan, FR-GES, 44, Strasbourg, 57441.00, 169, Alsace; Champagne-Ardenne; Lorraine, 
Hauts-de-France, Metropolitan, FR-HDF, 32, Lille, 31806.00, 170, Nord-Pas-de-Calais; Picardy, 
Île-de-France, Metropolitan, FR-IDF, 11, Paris, 12011.00, 209, unchanged, 
Normandie, Metropolitan, FR-NOR, 28, Rouen, 29907.00, 102, Upper Normandy; Lower Normandy, 
Nouvelle-Aquitaine, Metropolitan, FR-NAQ, 75, Bordeaux, 84036.00, 183, Aquitaine; Limousin; Poitou-Charentes, 
Occitanie, Metropolitan, FR-OCC, 76, Toulouse, 72724.00, 158, Languedoc-Roussillon; Midi-Pyrénées, 
Pays de la Loire, Metropolitan, FR-PDL, 52, Nantes, 32082.00, 93, unchanged, 
Provence-Alpes-Côte d'Azur, Metropolitan, FR-PAC, 93, Marseille, 31400.00, 123, unchanged, 
Guadeloupe, Overseas, GP, 1, Basse-Terre, 1628.00, 41, unchanged, 
Guyane, Overseas, GF, 3, Cayenne, 83534.00, 51, unchanged, 
La Réunion, Overseas, RE, 4, Saint-Denis, 2504.00, 45, unchanged, 
Martinique, Overseas, MQ, 2, Fort-de-France, 1128.00, 51, unchanged, 
Mayotte, Overseas, YT, 6, Mamoudzou, 374.00, 26, unchanged, 