Country, City, Stadium, Capacity
France , Paris, Parc des Princes, 40000
France , Marseille, Stade Vélodrome, 40000
Spain, Madrid, Santiago Bernabéu, 80000
Spain, Barcelona, Camp Nou, 105000
Italy, Rome, Stadio Olimpico, 80000
Italy, Naples, Stadio San Paolo, 82000
Italy, Florence, Stadio Comunale, 52000
Belgium, Brussels, Heysel Stadium, 75000
Belgium, Brussels, Stade Émile Versé, 30000
Belgium, Liège, Stade Maurice Dufrasne, 35000
Belgium, Antwerp, Bosuilstadion, 60000
Yugoslavia, Belgrade, Red Star Stadium, 90000
Yugoslavia, Zagreb, Stadion Maksimir, 55000
Italy, Rome, Stadio Olimpico, 66341
Italy, Milan, San Siro, 83141
Italy, Naples, Stadio San Paolo, 81101
Italy, Turin, Stadio Comunale, 71180
France, Paris, Parc des Princes, 48360
France, Marseille, Stade Vélodrome, 55000
France, Lyon, Stade de Gerland, 51860
France, Saint-Étienne, Stade Geoffroy-Guichard, 48274
France, Lens, Stade Félix-Bollaert, 49000
France, Nantes, Stade de la Beaujoire, 52923
France, Strasbourg, Stade de la Meinau, 42756
West Germany, Munich, Olympiastadion, 69256
West Germany, Gelsenkirchen, Parkstadion, 70748
West Germany, Hamburg, Volksparkstadion, 61330
West Germany, Frankfurt, Waldstadion, 61056
West Germany, Düsseldorf, Rheinstadion, 68400
West Germany, Hanover, Niedersachsenstadion, 60366
West Germany, Stuttgart, Neckarstadion, 70705
West Germany, Cologne, Müngersdorfer Stadion, 60584
Sweden, Gothenburg, Ullevi, 44000
Sweden, Stockholm, Råsunda Stadium, 40000
Sweden, Malmö, Malmö Stadion, 30000
Sweden, Norrköping, Idrottsparken, 23000
England, London, Wembley Stadium, 76567
England, Manchester, Old Trafford, 55000
England, Liverpool, Anfield, 42730
England, Birmingham, Villa Park, 40310
England, Leeds, Elland Road, 40204
England, Sheffield, Hillsborough, 39859
England, Nottingham, City Ground, 30539
England, Newcastle, St James' Park, 36649
Belgium, Brussels, King Baudouin Stadium, 50000
Belgium, Bruges, Jan Breydel Stadium, 30000
Netherlands, Amsterdam, Amsterdam Arena, 52000
Netherlands, Rotterdam, Feijenoord Stadion, 51000
Portugal, Lisbon, Estádio da Luz, 64642
Portugal, Lisbon, Estádio José Alvalade, 50095
Portugal, Aveiro, Estádio Municipal de Aveiro, 32830
Portugal, Porto, Estádio do Dragão, 50033
Portugal, Porto, Estádio do Bessa, 28263
Portugal, Faro/Loulé, Estádio Algarve, 30305
Portugal, Braga, Estádio Municipal de Braga, 30286
Portugal, Guimarães, Estádio D. Afonso Henriques, 30029
Portugal, Coimbra, Estádio Cidade de Coimbra, 29622
Portugal, Leiria, Estádio Dr. Magalhães Pessoa, 29366
Austria, Vienna, Ernst-Happel-Stadion, 51428
Austria, Klagenfurt, Wörthersee Stadion, 31957
Austria, Innsbruck, Tivoli-Neu, 31600
Austria, Salzburg, Stadion Wals-Siezenheim, 31895
Switzerland, Basel, St. Jakob-Park, 42500
Switzerland, Bern, Stade de Suisse, 31907
Switzerland, Geneva, Stade de Genève, 31228
Switzerland, Zürich, Letzigrund, 30930
Poland, Warsaw, National Stadium, 58580
Poland, Wrocław, Wrocław Stadium, 45105
Poland, Gdańsk, Gdańsk Stadium (PGE Arena), 43615
Poland, Poznań, Poznań Stadium, 43269
Ukraine, Kyiv, Olympic Stadium, 70050
Ukraine, Donetsk, Donbas Arena, 51504
Ukraine, Kharkiv, Metalist Stadium, 40003
Ukraine, Lviv, Arena Lviv, 34915
France, Paris, Parc des Princes, 48712
France, Bordeaux, Stade de Bordeaux, 42115
France, Saint-Denis, Stade de France, 81338
France, Marseille, Stade Vélodrome, 67394
France, Décines-Charpieu, Parc Olympique Lyonnais, 59286
France, Villeneuve-d'Ascq, Stade Pierre-Mauroy, 50186
France, Saint-Étienne, Stade Geoffroy-Guichard, 41965
France, Lens, Stade Bollaert-Delelis, 38223
France, Nice, Stade de Nice, 35624
France, Toulouse, Stadium de Toulouse, 33150
Spain, Seville, Estadio de La Cartuja, 57600
Romania, Bucharest, Arena Națională, 55600
Netherlands, Amsterdam, Johan Cruyff Arena, 54990
Scotland, Glasgow, Hampden Park, 51866
Denmark, Copenhagen, Parken Stadium, 38065
Azerbaijan, Baku, Olympic Stadium, 68000
Russia, Saint Petersburg, Krestovsky Stadium, 68134
Hungary, Budapest, Puskás Aréna, 67215
England, London, Wembley Stadium, 90000
Italy, Rome, Stadio Olimpico, 70634
Germany, Munich, Allianz Arena, 70000
Germany, Berlin, Olympiastadion Berlin, 71000
Germany, Munich, Allianz Arena, 66000
Germany, Dortmund, Westfalenstadion, 62000
Germany, Stuttgart, MHPArena, 51000
Germany, Gelsenkirchen, Arena AufSchalke, 50000
Germany, Hamburg, Volksparkstadion, 49000
Germany, Düsseldorf, Merkur Spiel-Arena, 47000
Germany, Frankfurt, Waldstadion, 47000
Germany, Cologne, RheinEnergieStadion, 43000
Germany, Leipzig, Red Bull Arena, 40000
England, London, Wembley Stadium, 90000
England, London, Tottenham Hotspur Stadium, 62850
England, Manchester, Etihad Stadium (Manchester City Stadium), 61470
England, Liverpool, Hill Dickinson Stadium (Everton Stadium), 52769
England, Newcastle, St James' Park, 52264
England, Birmingham, Villa Park, 50000
Scotland, Glasgow, Hampden Park, 51866
Wales, Cardiff, Millennium Stadium (National Stadium of Wales), 73931
Republic of Ireland, Dublin, Aviva Stadium (Dublin Arena), 51711