Windows NT 3.1, 27-07-1993, NT 3.1, Windows NT 3.1, 528, 31-12-2000, 
Windows NT 3.5, 20-09-1994, NT 3.5, Windows NT 3.5 Server, 807, 31-12-2001, 
Windows NT 3.51, 29-05-1995, NT 3.51, Windows NT 3.51 Server, 1057, 31-12-2001, 
Windows NT 4.0, 29-07-1996, NT 4.0, Windows NT 4.0 Server/ Windows NT 4.0 Server Enterprise/ Windows NT 4.0 Terminal Server Edition, 1381, 31-12-2004, 
Windows 2000, 17-02-2000, NT 5.0, Windows 2000 Server/ Windows 2000 Advanced Server/ Windows 2000 Datacenter Server, 2195, 13-07-2010, 
Windows Server 2003, 24-04-2003, NT 5.2, Windows Small Business Server 2003 Web Standard Enterprise Datacenter Windows Storage Server, 3790, 14-07-2015, 
Windows Server 2003 R2, 06-12-2005, NT 5.2, Windows Small Business Server 2003 R2 Web Edition Standard Edition Enterprise Edition Datacenter Edition Windows Compute Cluster Server 2003 (CCS) Windows Storage Server Windows Home Server, 3790, 14-07-2015, 
Windows Server 2008, 27-02-2008, NT 6.0, Standard Enterprise Datacenter for Itanium-based Systems Foundation 2008 Windows Essential Business Server 2008 Windows HPC Server 2008 Windows Small Business Server 2008 Windows Storage Server 2008 Windows Web Server 2008, 6003, 14-01-2020, 
Windows Server 2008 R2, 22-10-2009, NT 6.1, Foundation Standard Enterprise Datacenter for Itanium-based Systems Windows Web Server 2008 R2 Windows Storage Server 2008 R2 Windows HPC Server 2008 R2 Windows Small Business Server 2011 Windows Home Server 2011, 7601, 14-01-2020, 
Windows Server 2012, 04-09-2012, NT 6.2, Windows Server Foundation/ Windows Server Essentials/ Windows Server Standard/ Windows Server Datacenter, 9200, 10-10-2023, 
Windows Server 2012 R2, 17-10-2013, NT 6.3, Windows Server Foundation/ Windows Server Essentials/ Windows Server Standard/ Windows Server Datacenter, 9600, 10-10-2023, 
Windows Server 2016, 12-10-2016, 1607, Windows Server Essentials  Windows Server Standard/ Windows Server Datacenter, 14393, 11-01-2027, 
Windows Server version 1709, , 1709,  Windows Server Standard/ Windows Server Datacenter, 16299, 09-04-2019, 
Windows Server version 1803, , 1803,  Windows Server Standard/ Windows Server Datacenter, 12-11-2019, 
Windows Server version 1809, 13-11-2018, 1809,  Windows Server Standard/ Windows Server Datacenter, , 
Windows Server 2019, 13-11-2018, 1809, Windows Server Essentials  Windows Server Standard/ Windows Server Datacenter, 177632029-01-09, 
Windows Server version 1903, 21-05-2019, 1903,  Windows Server Standard/ Windows Server Datacenter, 183622020-12-08, 
Windows Server version 1909, 12-11-2019, 1909,  Windows Server Standard/ Windows Server Datacenter, 183632021-05-11, 
Windows Server version 2004, 26-06-2020, 2004,  Windows Server Standard/ Windows Server Datacenter, 190412021-12-14, 
Windows Server version 20H2, 20-10-2020, 20H2,  Windows Server Standard/ Windows Server Datacenter, 190422022-05-10, 
Windows Server 2022, 18-08-2021, 21H2, Windows Server Essentials  Windows Server Standard/ Windows Server Datacenter, 203482031-10-14, 